Peer closed connection.
Connecting to 127.0.0.1:7497 clientId=80 ...
Subscribing to 7 scanner(s) in parallel: TOP_PERC_GAIN, TOP_OPEN_PERC_GAIN, HOT_BY_VOLUME, TOP_STOCK_BUY_IMBALANCE_ADV_RATIO, TOP_VOLUME_RATE, HOT_BY_OPT_VOLUME, HALTED
Observing until 15:58 ET — Ctrl-C to stop early.
[13:25:03] TOP_PERC_GAIN(20)·MWC,POEL,VIDA | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·IRVH,GGT PRE,ALRG | TOP_VOLUME_RATE(20)·MWC,NOK,INFY | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:25:33] TOP_PERC_GAIN(20)·MWC,POEL,VIDA | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·NRES,IRVH,GGT PRE | TOP_VOLUME_RATE(20)·MWC,NOK,GCTS | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:26:03] TOP_PERC_GAIN(20)·MWC,POEL,VIDA | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·NRES,IRVH,GGT PRE | TOP_VOLUME_RATE(20)·IBIT,MWC,NVD | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:26:33] TOP_PERC_GAIN(20)·MWC,POEL,VIDA | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·NRES,IRVH,GGT PRE | TOP_VOLUME_RATE(20)·IBIT,MWC,NVD | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:27:04] TOP_PERC_GAIN(20)·MWC,POEL,VIDA | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·NRES,IRVH,GGT PRE | TOP_VOLUME_RATE(20)·IBIT,SOXS,MWC | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:27:34] TOP_PERC_GAIN(20)·MWC,POEL,VIDA | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·NRES,IRVH,GGT PRE | TOP_VOLUME_RATE(20)·IBIT,SOXS,MWC | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:28:04] TOP_PERC_GAIN(20)·MWC,POEL,VIDA | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·NRES,IRVH,GGT PRE | TOP_VOLUME_RATE(20)·IBIT,SOXS,SNDQ | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:28:34] TOP_PERC_GAIN(20)·MWC,POEL,VIDA | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·IRVH,GGT PRE,NRES | TOP_VOLUME_RATE(20)·MWC,SOXS,IBIT | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:29:04] TOP_PERC_GAIN(20)·MWC,MODD,POEL | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·CBON,GGT PRE,NRES | TOP_VOLUME_RATE(20)·SOXS,JYD,MWC | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:29:34] TOP_PERC_GAIN(20)·MWC,POEL,VIDA | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·CBON,GGT PRE,NRES | TOP_VOLUME_RATE(20)·SOXS,MWC,NVD | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:30:04] TOP_PERC_GAIN(20)·MWC,POEL,VIDA | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·NRES,CBON,MFLX | TOP_VOLUME_RATE(20)·SOXS,TZA,MWC | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:30:34] TOP_PERC_GAIN(20)·MWC,POEL,VIDA | TOP_OPEN_PERC_GAIN(20)·SXTC,VUZI,SGC | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·VERS,CBON,GSPY | TOP_VOLUME_RATE(20)·SOXS,PLUG,INTC | HOT_BY_OPT_VOLUME(20)·SMPL,SILA,BZ | HALTED(1)·OPTH
[13:31:04] TOP_PERC_GAIN(20)·MWC,POEL,TATT | TOP_OPEN_PERC_GAIN(20)·HSPT,SXTC,VUZI | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·HF,PRVS,HSMV | TOP_VOLUME_RATE(20)·SOXS,PLUG,INTC | HOT_BY_OPT_VOLUME(20)·SMPL,SILA,BZ | HALTED(2)·OPTH,GIGGU
[13:31:34] TOP_PERC_GAIN(20)·MWC,HSPT,POEL | TOP_OPEN_PERC_GAIN(20)·HSPT,SXTC,VUZI | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·HF,PRVS,HSMV | TOP_VOLUME_RATE(20)·SOXS,NVDA,INTC | HOT_BY_OPT_VOLUME(20)·SMPL,SILA,KCE | HALTED(2)·OPTH,GIGGU
[13:32:04] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(20)·HSPT,SXTC,VUZI | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·PRVS,HSMV,RND | TOP_VOLUME_RATE(20)·SOXS,NVDA,INTC | HOT_BY_OPT_VOLUME(20)·SMPL,SILA,PEX | HALTED(2)·OPTH,GIGGU
